iter	Passed	Remaining
0	132	132714
1	134	67001
2	135	45119
3	137	34152
4	138	27569
5	139	23173
6	141	20108
7	143	17761
8	144	15909
9	145	14418
10	146	13203
11	148	12187
12	149	11344
13	150	10623
14	152	9982
15	153	9420
16	154	8930
17	156	8510
18	157	8129
19	158	7780
20	160	7470
21	161	7178
22	162	6916
23	164	6677
24	165	6459
25	167	6289
26	169	6109
27	171	5940
28	172	5782
29	174	5627
30	175	5475
31	176	5344
32	178	5216
33	179	5092
34	180	4978
35	181	4865
36	182	4760
37	184	4659
38	185	4563
39	186	4472
40	187	4383
41	188	4303
42	189	4224
43	191	4163
44	192	4093
45	194	4030
46	195	3964
47	196	3901
48	197	3842
49	199	3784
50	200	3729
51	201	3674
52	202	3621
53	203	3571
54	205	3528
55	206	3488
56	208	3444
57	209	3399
58	210	3356
59	211	3314
60	212	3274
61	213	3235
62	215	3198
63	216	3161
64	217	3126
65	218	3092
66	220	3065
67	221	3036
68	222	3005
69	223	2973
70	224	2943
71	226	2914
72	227	2886
73	228	2857
74	229	2830
75	230	2803
76	231	2777
77	232	2753
78	234	2733
79	235	2711
80	236	2688
81	238	2665
82	238	2637
83	239	2614
84	240	2593
85	242	2573
86	243	2552
87	244	2533
88	245	2513
89	246	2494
90	247	2476
91	249	2461
92	250	2444
93	251	2427
94	253	2411
95	254	2395
96	255	2379
97	256	2363
98	257	2346
99	258	2330
100	260	2315
101	261	2302
102	262	2289
103	264	2275
104	265	2262
105	266	2247
106	267	2233
107	268	2219
108	269	2206
109	271	2193
110	272	2180
111	273	2166
112	274	2156
113	275	2144
114	277	2132
115	278	2122
116	279	2109
117	280	2097
118	281	2085
119	282	2074
120	283	2062
121	284	2049
122	285	2038
123	287	2028
124	288	2017
125	289	2008
126	290	1996
127	291	1985
128	293	1978
129	294	1969
130	295	1959
131	296	1949
132	297	1940
133	298	1930
134	299	1921
135	300	1911
136	302	1902
137	303	1893
138	304	1885
139	305	1876
140	306	1867
141	307	1858
142	308	1851
143	310	1843
144	311	1834
145	312	1826
146	313	1818
147	314	1810
148	315	1802
149	316	1796
150	318	1788
151	319	1781
152	320	1774
153	322	1769
154	323	1762
155	324	1755
156	325	1747
157	326	1740
158	327	1733
159	328	1726
160	329	1717
161	330	1711
162	331	1704
163	332	1697
164	333	1690
165	335	1683
166	336	1678
167	337	1672
168	339	1666
169	340	1661
170	341	1654
171	342	1648
172	343	1643
173	345	1638
